Name,Domain,Indicator,Year,GeogID,AgeGroup,Gender,Month,Measure,Value,ts,measureName,indicatorName,contentAreaName
NAVAJO,HSI,89,2011,4017,20,ALL,ALL,440,17.72,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
NAVAJO,HSI,89,2011,4017,20,ALL,ALL,440,17.72,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
PIMA,HSI,89,2011,4019,20,ALL,ALL,440,20.12,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
PIMA,HSI,89,2011,4019,20,ALL,ALL,440,20.12,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
PINAL,HSI,89,2011,4021,20,ALL,ALL,440,37.73,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
PINAL,HSI,89,2011,4021,20,ALL,ALL,440,37.73,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
SANTA CRUZ,HSI,89,2011,4023,20,ALL,ALL,440,17.72,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
SANTA CRUZ,HSI,89,2011,4023,20,ALL,ALL,440,17.72,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
YAVAPAI,HSI,89,2011,4025,20,ALL,ALL,440,12.76,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
YAVAPAI,HSI,89,2011,4025,20,ALL,ALL,440,12.76,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
YUMA,HSI,89,2011,4027,20,ALL,ALL,440,81.43,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
YUMA,HSI,89,2011,4027,20,ALL,ALL,440,81.43,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
ARIZONA,HSI,89,2011,ALL,20,ALL,ALL,440,30.36,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
ARIZONA,HSI,89,2011,ALL,20,ALL,ALL,440,30.36,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
APACHE,HSI,89,2012,4001,20,ALL,ALL,440,13.27,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
APACHE,HSI,89,2012,4001,20,ALL,ALL,440,13.27,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
