Name,Domain,Indicator,Year,GeogID,Absolute_Threshold,Heat_Metric,Month,Measure,Value,ts,measureName,indicatorName,contentAreaName
APACHE,CC,79,2011,4001,90 degrees F,Daily Maximum Temperature,ALL,423,7,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
COCHISE,CC,79,2011,4003,90 degrees F,Daily Maximum Temperature,ALL,423,89,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
COCONINO,CC,79,2011,4005,90 degrees F,Daily Maximum Temperature,ALL,423,2,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
GILA,CC,79,2011,4007,90 degrees F,Daily Maximum Temperature,ALL,423,81,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
GRAHAM,CC,79,2011,4009,90 degrees F,Daily Maximum Temperature,ALL,423,121,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
GREENLEE,CC,79,2011,4011,90 degrees F,Daily Maximum Temperature,ALL,423,107,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
LA PAZ,CC,79,2011,4012,90 degrees F,Daily Maximum Temperature,ALL,423,135,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
MARICOPA,CC,79,2011,4013,90 degrees F,Daily Maximum Temperature,ALL,423,140,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
MOHAVE,CC,79,2011,4015,90 degrees F,Daily Maximum Temperature,ALL,423,119,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
NAVAJO,CC,79,2011,4017,90 degrees F,Daily Maximum Temperature,ALL,423,23,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
PIMA,CC,79,2011,4019,90 degrees F,Daily Maximum Temperature,ALL,423,127,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
PINAL,CC,79,2011,4021,90 degrees F,Daily Maximum Temperature,ALL,423,139,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
SANTA CRUZ,CC,79,2011,4023,90 degrees F,Daily Maximum Temperature,ALL,423,86,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
YAVAPAI,CC,79,2011,4025,90 degrees F,Daily Maximum Temperature,ALL,423,64,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
YUMA,CC,79,2011,4027,90 degrees F,Daily Maximum Temperature,ALL,423,140,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
ARIZONA,CC,79,2011,ALL,90 degrees F,Daily Maximum Temperature,ALL,423,92,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
APACHE,CC,79,2012,4001,90 degrees F,Daily Maximum Temperature,ALL,423,14,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
COCHISE,CC,79,2012,4003,90 degrees F,Daily Maximum Temperature,ALL,423,80,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
COCONINO,CC,79,2012,4005,90 degrees F,Daily Maximum Temperature,ALL,423,3,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
GILA,CC,79,2012,4007,90 degrees F,Daily Maximum Temperature,ALL,423,78,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
GRAHAM,CC,79,2012,4009,90 degrees F,Daily Maximum Temperature,ALL,423,118,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
