county,year,ed_rate,hosp_rate,vul_rate,ext_heat_days,ed_rate_35,index
COCHISE,2011,23.72,,,,,0
COCONINO,2011,11.04,,,,,1
GILA,2011,29.87,0.0,,,,2
GRAHAM,2011,38.41,0.0,,,,3
LA PAZ,2011,144.96,0.0,,,,4
MARICOPA,2011,31.31,8.73,,,,5
MOHAVE,2011,49.41,11.43,,,,6
NAVAJO,2011,17.72,11.43,,,,7
PIMA,2011,20.12,4.79,,,,8
PINAL,2011,37.73,13.18,,,,9
SANTA CRUZ,2011,17.72,13.18,,,,10
YAVAPAI,2011,12.76,13.18,,,,11
YUMA,2011,81.43,5.31,,,,12
APACHE,2012,13.27,5.31,,,,13
COCHISE,2012,21.44,5.31,,,,14
COCONINO,2012,13.06,5.31,,,,15
GILA,2012,40.58,5.31,,,,16
GRAHAM,2012,27.05,5.31,,,,17
LA PAZ,2012,126.68,5.31,,,,18
MARICOPA,2012,29.34,8.22,,,,19
MOHAVE,2012,61.2,7.39,,,,20
NAVAJO,2012,19.18,7.39,,,,21
PIMA,2012,22.71,4.06,,,,22
PINAL,2012,31.05,8.48,,,,23
YAVAPAI,2012,21.66,3.18,,,,24
YUMA,2012,87.72,9.47,,,,25
APACHE,2013,9.62,9.47,,,,26
COCHISE,2013,25.74,6.19,,,,27
COCONINO,2013,13.43,6.19,,,,28
GILA,2013,31.81,6.19,,,,29
GRAHAM,2013,47.3,6.19,,,,30
GREENLEE,2013,0.0,0.0,,,,31
LA PAZ,2013,125.73,0.0,,,,32
MARICOPA,2013,26.75,7.88,,,,33
MOHAVE,2013,58.2,10.81,,,,34
NAVAJO,2013,12.03,10.81,,,,35
PIMA,2013,17.74,3.49,,,,36
PINAL,2013,39.94,7.62,,,,37
YAVAPAI,2013,13.9,2.36,,,,38
YUMA,2013,85.36,7.12,,,,39
APACHE,2014,13.94,7.12,0.991,,,40
COCHISE,2014,18.16,4.81,0.906,,,41
COCONINO,2014,15.93,4.81,0.817,,,42
GILA,2014,21.05,0.0,0.882,,,43
GRAHAM,2014,14.08,0.0,0.952,,,44
LA PAZ,2014,111.48,0.0,0.856,,,45
MARICOPA,2014,24.46,6.04,0.669,,,46
MOHAVE,2014,75.08,8.25,0.877,,,47
PIMA,2014,18.8,5.25,0.84,,,48
PINAL,2014,35.45,5.18,0.848,,,49
YAVAPAI,2014,6.98,2.5,0.599,,,50
YUMA,2014,82.8,14.74,0.993,,,51
APACHE,2015,9.94,14.74,0.993,,,52
COCHISE,2015,16.75,6.27,0.993,,,53
COCONINO,2015,13.48,6.27,0.993,,,54
