county,year,ed_rate
COCHISE,2011,23.72
COCONINO,2011,11.04
GILA,2011,29.87
GRAHAM,2011,38.41
LA PAZ,2011,144.96
MARICOPA,2011,31.31
MOHAVE,2011,49.41
NAVAJO,2011,17.72
PIMA,2011,20.12
PINAL,2011,37.73
SANTA CRUZ,2011,17.72
YAVAPAI,2011,12.76
YUMA,2011,81.43
APACHE,2012,13.27
COCHISE,2012,21.44
COCONINO,2012,13.06
GILA,2012,40.58
GRAHAM,2012,27.05
LA PAZ,2012,126.68
MARICOPA,2012,29.34
MOHAVE,2012,61.2
NAVAJO,2012,19.18
PIMA,2012,22.71
PINAL,2012,31.05
YAVAPAI,2012,21.66
YUMA,2012,87.72
APACHE,2013,9.62
COCHISE,2013,25.74
COCONINO,2013,13.43
GILA,2013,31.81
GRAHAM,2013,47.3
GREENLEE,2013,0.0
LA PAZ,2013,125.73
MARICOPA,2013,26.75
MOHAVE,2013,58.2
NAVAJO,2013,12.03
PIMA,2013,17.74
PINAL,2013,39.94
YAVAPAI,2013,13.9
YUMA,2013,85.36
APACHE,2014,13.94
COCHISE,2014,18.16
COCONINO,2014,15.93
GILA,2014,21.05
GRAHAM,2014,14.08
LA PAZ,2014,111.48
MARICOPA,2014,24.46
MOHAVE,2014,75.08
PIMA,2014,18.8
PINAL,2014,35.45
YAVAPAI,2014,6.98
YUMA,2014,82.8
APACHE,2015,9.94
COCHISE,2015,16.75
COCONINO,2015,13.48
GILA,2015,37.06
GRAHAM,2015,22.85
LA PAZ,2015,116.32
MARICOPA,2015,28.09
MOHAVE,2015,86.32
NAVAJO,2015,10.29
PIMA,2015,19.17
PINAL,2015,38.37
SANTA CRUZ,2015,13.69
YAVAPAI,2015,21.68
YUMA,2015,78.64
APACHE,2016,11.81
COCHISE,2016,31.23
COCONINO,2016,21.82
GILA,2016,52.08
GRAHAM,2016,45.86
LA PAZ,2016,172.69
MARICOPA,2016,34.11
MOHAVE,2016,100.21
NAVAJO,2016,20.51
PIMA,2016,27.72
PINAL,2016,45.11
YAVAPAI,2016,29.18
YUMA,2016,88.98
APACHE,2017,12.82
COCHISE,2017,44.34
COCONINO,2017,16.57
GILA,2017,38.13
GRAHAM,2017,38.45
LA PAZ,2017,120.2
MARICOPA,2017,35.8
MOHAVE,2017,93.18
NAVAJO,2017,19.54
PIMA,2017,28.51
PINAL,2017,45.75
SANTA CRUZ,2017,12.57
YAVAPAI,2017,26.91
YUMA,2017,106.39
APACHE,2018,9.74
COCHISE,2018,29.76
COCONINO,2018,17.99
GILA,2018,51.43
GRAHAM,2018,37.71
LA PAZ,2018,153.14
MARICOPA,2018,33.24
MOHAVE,2018,89.59
NAVAJO,2018,11.98
PIMA,2018,31.27
PINAL,2018,52.56
SANTA CRUZ,2018,18.86
YAVAPAI,2018,22.58
YUMA,2018,104.34
APACHE,2019,14.05
COCHISE,2019,34.02
COCONINO,2019,12.94
GILA,2019,59.0
GRAHAM,2019,35.23
LA PAZ,2019,47.54
MARICOPA,2019,33.65
MOHAVE,2019,67.93
NAVAJO,2019,10.83
PIMA,2019,28.25
PINAL,2019,49.15
SANTA CRUZ,2019,29.52
YAVAPAI,2019,20.57
YUMA,2019,105.4
APACHE,2020,10.55
COCHISE,2020,22.42
COCONINO,2020,17.0
GILA,2020,48.87
GRAHAM,2020,50.56
LA PAZ,2020,108.59
MARICOPA,2020,27.36
MOHAVE,2020,68.74
NAVAJO,2020,19.3
PIMA,2020,20.2
PINAL,2020,45.5
SANTA CRUZ,2020,15.26
YAVAPAI,2020,16.87
YUMA,2020,51.69
APACHE,2021,17.89
COCHISE,2021,25.05
COCONINO,2021,15.4
GILA,2021,45.21
GRAHAM,2021,32.62
LA PAZ,2021,302.61
MARICOPA,2021,32.39
MOHAVE,2021,83.5
NAVAJO,2021,20.2
PIMA,2021,22.65
PINAL,2021,42.39
SANTA CRUZ,2021,40.66
YAVAPAI,2021,28.35
YUMA,2021,82.7
