county,year,county_id,number_of_visits
NAVAJO,2011,4017,17.72
NAVAJO,2011,4017,17.72
PIMA,2011,4019,20.12
PIMA,2011,4019,20.12
PINAL,2011,4021,37.73
PINAL,2011,4021,37.73
SANTA CRUZ,2011,4023,17.72
SANTA CRUZ,2011,4023,17.72
YAVAPAI,2011,4025,12.76
YAVAPAI,2011,4025,12.76
YUMA,2011,4027,81.43
YUMA,2011,4027,81.43
ARIZONA,2011,ALL,30.36
ARIZONA,2011,ALL,30.36
APACHE,2012,4001,13.27
APACHE,2012,4001,13.27
GREENLEE,2013,4011,0.0
GREENLEE,2013,4011,0.0
LA PAZ,2013,4012,125.73
LA PAZ,2013,4012,125.73
GILA,2011,4007,29.87
GILA,2011,4007,29.87
GRAHAM,2011,4009,38.41
GRAHAM,2011,4009,38.41
LA PAZ,2011,4012,144.96
LA PAZ,2011,4012,144.96
MARICOPA,2011,4013,31.31
MARICOPA,2011,4013,31.31
MOHAVE,2011,4015,49.41
MOHAVE,2011,4015,49.41
ARIZONA,2012,ALL,30.01
ARIZONA,2012,ALL,30.01
APACHE,2013,4001,9.62
APACHE,2013,4001,9.62
COCHISE,2013,4003,25.74
COCHISE,2013,4003,25.74
COCONINO,2013,4005,13.43
COCONINO,2013,4005,13.43
GILA,2013,4007,31.81
GILA,2013,4007,31.81
COCHISE,2011,4003,23.72
COCHISE,2011,4003,23.72
COCONINO,2011,4005,11.04
COCONINO,2011,4005,11.04
MARICOPA,2012,4013,29.34
MARICOPA,2012,4013,29.34
MOHAVE,2012,4015,61.2
MOHAVE,2012,4015,61.2
NAVAJO,2012,4017,19.18
NAVAJO,2012,4017,19.18
PIMA,2012,4019,22.71
PIMA,2012,4019,22.71
PINAL,2012,4021,31.05
PINAL,2012,4021,31.05
YAVAPAI,2012,4025,21.66
YAVAPAI,2012,4025,21.66
YUMA,2012,4027,87.72
YUMA,2012,4027,87.72
GILA,2014,4007,21.05
GILA,2014,4007,21.05
COCHISE,2012,4003,21.44
COCHISE,2012,4003,21.44
COCONINO,2012,4005,13.06
COCONINO,2012,4005,13.06
GILA,2012,4007,40.58
GILA,2012,4007,40.58
GRAHAM,2012,4009,27.05
GRAHAM,2012,4009,27.05
LA PAZ,2012,4012,126.68
LA PAZ,2012,4012,126.68
YAVAPAI,2013,4025,13.9
YAVAPAI,2013,4025,13.9
YUMA,2013,4027,85.36
YUMA,2013,4027,85.36
ARIZONA,2013,ALL,27.73
ARIZONA,2013,ALL,27.73
APACHE,2014,4001,13.94
APACHE,2014,4001,13.94
COCHISE,2014,4003,18.16
COCHISE,2014,4003,18.16
MARICOPA,2013,4013,26.75
MARICOPA,2013,4013,26.75
MOHAVE,2013,4015,58.2
MOHAVE,2013,4015,58.2
NAVAJO,2013,4017,12.03
NAVAJO,2013,4017,12.03
PIMA,2013,4019,17.74
PIMA,2013,4019,17.74
PINAL,2013,4021,39.94
PINAL,2013,4021,39.94
LA PAZ,2015,4012,116.32
LA PAZ,2015,4012,116.32
MARICOPA,2015,4013,28.09
MARICOPA,2015,4013,28.09
MOHAVE,2015,4015,86.32
MOHAVE,2015,4015,86.32
NAVAJO,2015,4017,10.29
NAVAJO,2015,4017,10.29
PIMA,2015,4019,19.17
PIMA,2015,4019,19.17
GRAHAM,2013,4009,47.3
