county,year,county_id,days_over_90
APACHE,2011,4001,7.0
COCHISE,2011,4003,89.0
COCONINO,2011,4005,2.0
GILA,2011,4007,81.0
GRAHAM,2011,4009,121.0
GREENLEE,2011,4011,107.0
LA PAZ,2011,4012,135.0
MARICOPA,2011,4013,140.0
MOHAVE,2011,4015,119.0
NAVAJO,2011,4017,23.0
PIMA,2011,4019,127.0
PINAL,2011,4021,139.0
SANTA CRUZ,2011,4023,86.0
YAVAPAI,2011,4025,64.0
YUMA,2011,4027,140.0
ARIZONA,2011,ALL,92.0
APACHE,2012,4001,14.0
COCHISE,2012,4003,80.0
COCONINO,2012,4005,3.0
GILA,2012,4007,78.0
GRAHAM,2012,4009,118.0
GREENLEE,2012,4011,110.0
LA PAZ,2012,4012,144.0
MARICOPA,2012,4013,149.0
MOHAVE,2012,4015,137.0
NAVAJO,2012,4017,21.0
PIMA,2012,4019,133.0
PINAL,2012,4021,147.0
SANTA CRUZ,2012,4023,84.0
YAVAPAI,2012,4025,53.0
YUMA,2012,4027,150.0
ARIZONA,2012,ALL,94.73
APACHE,2013,4001,12.0
COCHISE,2013,4003,47.0
COCONINO,2013,4005,9.0
GILA,2013,4007,57.0
GRAHAM,2013,4009,98.0
GREENLEE,2013,4011,77.0
LA PAZ,2013,4012,142.0
MARICOPA,2013,4013,144.0
MOHAVE,2013,4015,118.0
NAVAJO,2013,4017,17.0
PIMA,2013,4019,115.0
PINAL,2013,4021,136.0
SANTA CRUZ,2013,4023,48.0
YAVAPAI,2013,4025,37.0
YUMA,2013,4027,146.0
ARIZONA,2013,ALL,80.2
APACHE,2014,4001,0.0
COCHISE,2014,4003,37.0
COCONINO,2014,4005,0.0
GILA,2014,4007,50.0
GRAHAM,2014,4009,92.0
GREENLEE,2014,4011,71.0
LA PAZ,2014,4012,137.0
MARICOPA,2014,4013,138.0
MOHAVE,2014,4015,128.0
NAVAJO,2014,4017,3.0
PIMA,2014,4019,112.0
PINAL,2014,4021,133.0
SANTA CRUZ,2014,4023,42.0
YAVAPAI,2014,4025,27.0
YUMA,2014,4027,144.0
ARIZONA,2014,ALL,74.27
APACHE,2015,4001,10.0
COCHISE,2015,4003,57.0
COCONINO,2015,4005,3.0
GILA,2015,4007,70.0
GRAHAM,2015,4009,116.0
GREENLEE,2015,4011,101.0
LA PAZ,2015,4012,132.0
MARICOPA,2015,4013,129.0
MOHAVE,2015,4015,121.0
NAVAJO,2015,4017,20.0
PIMA,2015,4019,119.0
PINAL,2015,4021,128.0
SANTA CRUZ,2015,4023,60.0
YAVAPAI,2015,4025,43.0
YUMA,2015,4027,132.0
ARIZONA,2015,ALL,82.73
APACHE,2016,4001,9.0
COCHISE,2016,4003,55.0
COCONINO,2016,4005,4.0
GILA,2016,4007,62.0
GRAHAM,2016,4009,104.0
GREENLEE,2016,4011,86.0
LA PAZ,2016,4012,135.0
MARICOPA,2016,4013,135.0
MOHAVE,2016,4015,119.0
NAVAJO,2016,4017,20.0
PIMA,2016,4019,111.0
PINAL,2016,4021,131.0
SANTA CRUZ,2016,4023,59.0
YAVAPAI,2016,4025,50.0
YUMA,2016,4027,139.0
ARIZONA,2016,ALL,81.27
